N,P,K,temperature,humidity,ph,rainfall,soil_type,season,district,region,label
18.75,41.3,40.0,26.92,79.07,6.54,404.9,Loamy,Kharif,Hassan,Malnad,blackgram
117.04,29.13,103.92,24.6,51.22,6.17,132.64,Loamy,Rabi,Ramanagara,South Karnataka,mango
20.99,21.4,30.0,22.64,59.01,5.58,212.19,Red,Rabi,Tumakuru,South Karnataka,horsegram
19.89,46.24,24.29,27.99,53.42,6.51,212.8,Black,Rabi,Koppala,North Karnataka,chickpea
53.96,35.99,72.38,33.89,70.89,6.72,148.91,Sandy,Zaid,Chitradurga,South Karnataka,sapota
92.48,41.41,52.45,26.72,86.64,6.99,556.06,Loamy,Kharif,Belagavi,North Karnataka,rice
16.56,57.53,34.88,32.07,68.04,6.17,415.96,Red,Kharif,Bagalkote,North Karnataka,pigeonpeas
16.56,47.29,31.53,31.65,63.75,6.49,435.8,Red,Kharif,Raichur,North Karnataka,mungbean
62.32,50.0,66.31,25.13,62.63,6.88,339.42,Black,Kharif,Koppala,North Karnataka,chilli
111.97,36.45,82.34,23.0,80.62,6.45,1547.94,Loamy,Kharif,Chikkamagaluru,Malnad,pepper
15.67,51.97,29.03,25.63,49.55,7.2,203.47,Sandy,Rabi,Raichur,North Karnataka,chickpea
66.55,37.52,60.22,34.56,43.61,7.37,104.37,Black,Zaid,Dharwad,North Karnataka,mango
64.16,38.24,69.96,22.98,74.7,7.57,209.14,Black,Rabi,Chitradurga,South Karnataka,sapota
80.0,44.25,60.0,24.31,52.6,6.63,204.39,Black,Rabi,Chitradurga,South Karnataka,maize
157.66,40.34,186.32,23.87,81.29,6.26,152.39,Loamy,Rabi,Belagavi,North Karnataka,banana
40.0,24.88,38.51,27.42,42.88,6.48,1446.09,Red,Kharif,Chikkamagaluru,Malnad,jowar
64.16,51.24,96.52,19.18,70.15,5.82,192.85,Laterite,Rabi,Chikkamagaluru,Malnad,cardamom
101.65,40.32,197.59,24.17,74.1,6.43,119.7,Loamy,Zaid,Chikkamagaluru,Malnad,arecanut
22.53,31.14,26.7,23.19,55.48,6.75,193.6,Loamy,Rabi,Tumakuru,South Karnataka,horsegram
111.32,41.09,43.71,31.78,56.87,7.23,403.76,Loamy,Kharif,Dharwad,North Karnataka,maize
16.82,49.37,31.56,27.34,79.09,6.26,375.56,Red,Kharif,Tumakuru,South Karnataka,mungbean
43.62,30.66,41.6,22.38,68.4,6.04,158.46,Loamy,Rabi,Tumakuru,South Karnataka,sapota
60.68,43.67,63.95,35.27,41.45,6.05,67.27,Sandy,Zaid,Ballari,North Karnataka,muskmelon
124.34,40.89,161.98,26.32,75.32,6.46,159.53,Loamy,Rabi,Hassan,Malnad,arecanut
78.09,36.75,68.8,33.79,57.55,7.02,387.2,Black,Kharif,Dharwad,North Karnataka,mango
40.0,40.85,43.26,20.01,54.64,6.96,1628.06,Loamy,Kharif,Chikkamagaluru,Malnad,kidneybeans
116.04,53.5,71.65,29.96,65.18,6.48,420.71,Red,Kharif,Mandya,South Karnataka,mulberry
170.82,40.11,197.16,32.89,79.23,6.91,147.52,Loamy,Zaid,Mysuru,South Karnataka,banana
40.0,21.63,39.75,27.44,50.21,5.78,146.63,Red,Rabi,Dharwad,North Karnataka,jowar
75.31,43.14,104.47,25.66,73.88,6.5,210.76,Alluvial,Rabi,Shivamogga,Malnad,cardamom
104.51,41.87,65.58,24.14,54.95,6.77,244.99,Loamy,Rabi,Kolar,South Karnataka,tomato
71.69,27.33,98.24,21.32,51.47,6.97,130.12,Loamy,Rabi,Belagavi,North Karnataka,tobacco
77.6,45.01,80.08,27.94,75.24,6.5,100.7,Alluvial,Zaid,Uttara Kannada,Coastal Karnataka,pepper
81.9,40.5,96.38,23.87,66.46,6.5,328.71,Red,Kharif,Mysuru,South Karnataka,turmeric
70.09,52.9,55.7,25.62,53.21,6.71,359.52,Sandy,Kharif,Ballari,North Karnataka,sunflower
40.0,23.62,46.57,22.4,57.39,6.5,126.99,Red,Zaid,Tumakuru,South Karnataka,guava
151.42,54.41,159.24,25.87,69.8,6.41,363.1,Red,Kharif,Mandya,South Karnataka,papaya
40.0,23.0,34.1,27.25,58.92,6.26,158.0,Red,Rabi,Dharwad,North Karnataka,jowar
20.0,59.99,23.19,27.93,54.46,6.07,388.45,Sandy,Kharif,Ballari,North Karnataka,pigeonpeas
84.3,43.41,50.69,23.45,53.43,6.56,362.01,Loamy,Rabi,Davanagere,North Karnataka,chilli
79.56,43.26,84.95,24.91,82.77,6.5,1970.4,Alluvial,Kharif,Shivamogga,Malnad,pepper
49.68,31.9,48.58,31.39,59.65,5.13,412.39,Loamy,Kharif,Bagalkote,North Karnataka,guava
40.0,24.47,31.53,31.33,64.49,5.54,544.22,Red,Kharif,Kalaburagi,North Karnataka,jowar
111.44,77.4,66.51,21.22,75.0,6.0,361.96,Laterite,Kharif,Hassan,Malnad,tomato
100.37,52.72,98.63,20.71,75.0,6.0,381.38,Laterite,Kharif,Hassan,Malnad,tomato
103.28,60.03,61.33,19.18,67.74,6.0,139.61,Laterite,Rabi,Hassan,Malnad,tomato
83.0,42.92,55.6,22.24,84.81,6.93,1755.02,Alluvial,Kharif,Shivamogga,Malnad,rice
180.84,44.58,126.92,23.8,76.56,7.32,220.85,Alluvial,Rabi,Shivamogga,Malnad,coconut
95.8,56.47,48.51,24.96,55.09,6.09,162.16,Red,Rabi,Mandya,South Karnataka,maize
89.26,52.25,46.46,22.83,77.99,5.68,1281.27,Laterite,Kharif,Chikkamagaluru,Malnad,maize
33.6,23.63,38.48,25.26,50.89,5.94,144.71,Red,Rabi,Kalaburagi,North Karnataka,sesame
40.0,41.87,42.27,24.0,63.04,6.61,564.43,Loamy,Kharif,Belagavi,North Karnataka,kidneybeans
78.28,35.65,63.36,27.15,60.0,6.59,363.01,Sandy,Kharif,Chikkaballapura,South Karnataka,mango
17.44,21.47,28.28,32.65,58.54,6.73,357.26,Sandy,Kharif,Ballari,North Karnataka,mothbeans
154.74,57.61,129.76,29.01,72.62,6.32,113.87,Red,Zaid,Hassan,Malnad,arecanut
95.44,68.0,79.81,22.06,69.09,6.33,434.95,Red,Kharif,Ramanagara,South Karnataka,tomato
51.1,30.05,45.91,21.3,67.2,6.61,158.35,Loamy,Rabi,Ramanagara,South Karnataka,guava
52.27,31.27,40.0,20.91,62.89,6.17,1493.87,Loamy,Kharif,Chikkamagaluru,Malnad,ragi
40.0,41.06,41.17,24.0,62.54,6.33,417.3,Loamy,Kharif,Dharwad,North Karnataka,kidneybeans
16.07,37.22,20.69,25.48,50.73,6.93,230.06,Black,Rabi,Chitradurga,South Karnataka,horsegram
96.37,45.18,53.99,28.28,55.71,6.93,164.04,Sandy,Rabi,Ballari,North Karnataka,chilli
21.63,29.11,21.4,25.28,49.42,6.2,255.72,Loamy,Rabi,Kolar,South Karnataka,horsegram
89.91,41.58,46.23,27.8,40.74,6.36,432.38,Red,Rabi,Davanagere,North Karnataka,sunflower
86.49,53.73,48.25,24.99,72.16,5.79,390.66,Red,Kharif,Dharwad,North Karnataka,maize
154.67,42.94,118.49,22.65,66.02,6.55,146.23,Alluvial,Rabi,Mandya,South Karnataka,papaya
100.55,44.45,190.63,34.98,83.85,6.95,187.02,Black,Zaid,Haveri,North Karnataka,banana
75.62,37.63,31.87,28.63,45.89,6.43,481.02,Red,Kharif,Yadgir,North Karnataka,bajra
177.51,77.58,162.58,25.35,73.9,7.29,110.28,Laterite,Zaid,Shivamogga,Malnad,coconut
77.94,45.11,58.44,25.86,59.74,6.44,141.67,Red,Rabi,Gadag,North Karnataka,sunflower
69.44,35.74,22.32,27.02,64.96,7.38,525.72,Black,Kharif,Gadag,North Karnataka,jowar
63.54,43.92,61.81,34.88,40.98,6.05,68.47,Red,Zaid,Vijayapura,North Karnataka,muskmelon
73.01,47.77,53.19,27.83,55.85,6.56,686.37,Loamy,Kharif,Haveri,North Karnataka,onion
108.54,41.53,48.33,22.55,56.95,6.47,120.41,Loamy,Rabi,Bagalkote,North Karnataka,maize
70.85,56.57,51.87,31.16,72.43,6.6,310.31,Loamy,Kharif,Bagalkote,North Karnataka,chilli
196.14,64.68,154.78,25.64,78.33,6.12,115.34,Red,Rabi,Vijayapura,North Karnataka,banana
100.76,52.59,41.51,25.73,65.06,5.87,232.13,Laterite,Rabi,Shivamogga,Malnad,maize
16.51,47.14,65.62,33.9,66.3,6.81,404.9,Black,Kharif,Bagalkote,North Karnataka,groundnut
154.27,45.64,130.66,26.31,74.88,6.36,117.77,Red,Zaid,Hassan,Malnad,coconut
60.0,36.13,28.91,25.68,46.01,7.41,153.83,Black,Rabi,Kalaburagi,North Karnataka,sesame
23.02,56.61,35.31,27.94,50.23,6.11,132.74,Red,Rabi,Vijayapura,North Karnataka,pigeonpeas
74.26,38.89,74.39,37.23,76.46,6.88,76.15,Black,Zaid,Bagalkote,North Karnataka,sapota
24.87,47.99,45.44,30.95,69.12,6.66,352.1,Black,Kharif,Koppala,North Karnataka,mungbean
232.44,93.09,105.57,29.22,72.02,6.33,662.57,Red,Kharif,Belagavi,North Karnataka,sugarcane
141.51,62.83,180.93,22.22,80.39,6.24,199.76,Red,Rabi,Mysuru,South Karnataka,banana
182.0,40.61,182.95,25.56,78.27,6.67,333.81,Loamy,Kharif,Mysuru,South Karnataka,banana
42.2,39.81,40.0,25.63,49.76,6.8,138.77,Loamy,Rabi,Bagalkote,North Karnataka,jowar
115.9,45.89,120.44,24.91,77.8,5.94,1596.36,Laterite,Kharif,Chikkamagaluru,Malnad,arecanut
140.77,46.78,88.27,25.55,68.95,6.27,379.79,Red,Kharif,Tumakuru,South Karnataka,mulberry
118.54,41.39,41.53,31.55,66.16,6.14,330.96,Loamy,Kharif,Bagalkote,North Karnataka,maize
71.7,39.95,77.5,33.29,73.77,6.92,374.23,Black,Kharif,Bagalkote,North Karnataka,sapota
22.29,47.39,32.24,25.01,47.91,6.6,185.5,Black,Rabi,Raichur,North Karnataka,pigeonpeas
106.28,20.83,64.44,34.0,42.31,6.01,57.56,Red,Zaid,Vijayapura,North Karnataka,mango
17.44,47.17,62.32,33.63,61.09,6.83,424.15,Black,Kharif,Vijayapura,North Karnataka,groundnut
45.84,29.34,55.53,26.27,62.3,6.74,366.14,Sandy,Kharif,Kolar,South Karnataka,guava
162.33,54.53,133.09,28.56,71.36,6.88,114.98,Sandy,Zaid,Tumakuru,South Karnataka,papaya
63.81,24.13,78.66,24.4,58.07,5.89,405.69,Red,Kharif,Tumakuru,South Karnataka,mango
53.01,23.88,45.71,32.03,73.26,6.47,98.92,Red,Zaid,Chikkamagaluru,Malnad,cashew
21.38,57.74,69.44,27.91,62.23,6.4,392.25,Red,Kharif,Vijayapura,North Karnataka,groundnut
20.2,44.11,32.39,27.72,73.68,7.2,399.46,Black,Kharif,Vijayapura,North Karnataka,blackgram
171.32,70.43,164.9,30.56,85.02,7.05,2947.17,Alluvial,Kharif,Uttara Kannada,Coastal Karnataka,coconut
22.71,49.69,33.0,29.57,38.6,6.74,148.42,Red,Rabi,Yadgir,North Karnataka,pigeonpeas
65.82,41.24,60.0,26.64,56.41,7.11,119.16,Black,Rabi,Vijayapura,North Karnataka,sunflower
141.82,41.99,121.58,22.96,82.02,5.53,659.97,Laterite,Kharif,Kodagu,Malnad,arecanut
110.64,44.1,199.23,25.62,84.67,6.14,220.57,Black,Rabi,Haveri,North Karnataka,banana
147.59,40.18,150.29,25.32,80.05,5.54,151.79,Loamy,Rabi,Bagalkote,North Karnataka,banana
73.37,48.63,63.26,32.68,68.29,7.72,340.23,Black,Kharif,Ballari,North Karnataka,cotton
110.79,41.72,103.14,28.49,81.07,6.52,147.41,Loamy,Zaid,Mysuru,South Karnataka,papaya
